family_id,split,task_type,task_instruction,paired_change,state_a,state_b,view_1,view_2
F01,dev,bowl_plate,将红色碗放到白色盘子的中央并释放。,referential_unique_vs_ambiguous,一个红色碗,两个相似红色碗,agent_front,side_reveal
F02,confirm,bowl_plate,将红色碗放到白色盘子的中央并释放。,unsatisfied_vs_satisfied,碗在盘外,碗已在盘中央,agent_front,side_reveal
F03,confirm,bowl_plate,将红色碗放到白色盘子的中央并释放。,visible_vs_occluded,主视角清晰,主视角被遮挡,agent_front,side_reveal
F04,confirm,bowl_plate,将红色碗放到白色盘子的中央并释放。,clear_vs_target_blocked,盘子空闲,盘子上有可移障碍,agent_front,side_reveal
F05,dev,cube_box,将蓝色方块放进透明盒子并释放。,referential_unique_vs_ambiguous,一个蓝色方块,两个相似蓝色方块,agent_front,side_reveal
F06,confirm,cube_box,将蓝色方块放进透明盒子并释放。,unsatisfied_vs_satisfied,方块在盒外,方块已在盒内,agent_front,side_reveal
F07,confirm,cube_box,将蓝色方块放进透明盒子并释放。,visible_vs_occluded,主视角清晰,主视角被遮挡,agent_front,side_reveal
F08,confirm,cube_box,将蓝色方块放进透明盒子并释放。,clear_vs_target_blocked,盒子空闲,盒内有可移障碍,agent_front,side_reveal
F09,dev,cup_tray,将绿色杯子放到灰色托盘空位并释放。,referential_unique_vs_ambiguous,一个绿色杯子,两个相似绿色杯子,agent_front,side_reveal
F10,confirm,cup_tray,将绿色杯子放到灰色托盘空位并释放。,unsatisfied_vs_satisfied,杯子在托盘外,杯子已在托盘内,agent_front,side_reveal
F11,confirm,cup_tray,将绿色杯子放到灰色托盘空位并释放。,visible_vs_occluded,主视角清晰,主视角被遮挡,agent_front,side_reveal
F12,confirm,cup_tray,将绿色杯子放到灰色托盘空位并释放。,clear_vs_target_blocked,托盘有空位,托盘空位被占用,agent_front,side_reveal
