blind_id,goal_correct,objects_correct,scene_specific,order_sensible,checks_observable,scene_ready,unsupported_visual_assertion,recovery_branch_conditional,review_status,reviewer,note
R001,1,1,1,1,1,1,0,not_proposed,complete,Codex agent single semantic review 2026-09-07,Scene-appropriate graph under the prewritten rubric.
R002,1,1,1,1,1,1,0,yes,complete,Codex agent single semantic review 2026-09-07,Scene-appropriate graph under the prewritten rubric.
R003,1,1,1,1,1,1,0,yes,complete,Codex agent single semantic review 2026-09-07,Scene-appropriate graph under the prewritten rubric.
R004,1,1,1,1,1,1,0,not_proposed,complete,Codex agent single semantic review 2026-09-07,Scene-appropriate graph under the prewritten rubric.
R005,1,1,1,1,1,1,0,not_proposed,complete,Codex agent single semantic review 2026-09-07,Scene-appropriate graph under the prewritten rubric.
R006,1,1,1,1,1,1,0,yes,complete,Codex agent single semantic review 2026-09-07,Scene-appropriate graph under the prewritten rubric.
R007,1,1,0,0,1,0,0,yes,complete,Codex agent single semantic review 2026-09-07,Recognized that the bowl was on the plate but still made re-grasp and redundant transport the primary path.
R008,1,1,1,1,1,1,0,not_proposed,complete,Codex agent single semantic review 2026-09-07,Scene-appropriate graph under the prewritten rubric.
R009,1,1,1,1,1,1,0,yes,complete,Codex agent single semantic review 2026-09-07,Scene-appropriate graph under the prewritten rubric.
R010,1,1,1,1,1,1,0,yes,complete,Codex agent single semantic review 2026-09-07,Scene-appropriate graph under the prewritten rubric.
R011,1,1,1,1,1,1,0,not_proposed,complete,Codex agent single semantic review 2026-09-07,Scene-appropriate graph under the prewritten rubric.
R012,1,1,1,1,1,1,0,not_proposed,complete,Codex agent single semantic review 2026-09-07,Scene-appropriate graph under the prewritten rubric.
R013,1,1,0,1,1,0,0,yes,complete,Codex agent single semantic review 2026-09-07,Text-only input could not select the current B-state decision; generic observation or contingency did not establish scene adaptation.
R014,1,1,1,1,1,1,0,yes,complete,Codex agent single semantic review 2026-09-07,Scene-appropriate graph under the prewritten rubric.
R015,1,1,1,1,1,1,0,not_proposed,complete,Codex agent single semantic review 2026-09-07,Scene-appropriate graph under the prewritten rubric.
R016,1,0,0,1,1,0,1,not_proposed,complete,Codex agent single semantic review 2026-09-07,Misidentified the brown occluder as the task's blue cube and proposed manipulating the wrong object.
R017,1,1,1,1,1,1,0,yes,complete,Codex agent single semantic review 2026-09-07,Scene-appropriate graph under the prewritten rubric.
R018,1,1,1,1,1,1,0,not_proposed,complete,Codex agent single semantic review 2026-09-07,Scene-appropriate graph under the prewritten rubric.
R019,1,1,1,1,1,1,0,yes,complete,Codex agent single semantic review 2026-09-07,Scene-appropriate graph under the prewritten rubric.
R020,1,1,1,1,1,1,0,not_proposed,complete,Codex agent single semantic review 2026-09-07,Scene-appropriate graph under the prewritten rubric.
R021,1,1,1,1,1,1,0,yes,complete,Codex agent single semantic review 2026-09-07,Scene-appropriate graph under the prewritten rubric.
R022,1,1,0,0,1,0,0,yes,complete,Codex agent single semantic review 2026-09-07,Observed the cup already in the tray but made moving it to another unspecified slot the primary path.
R023,1,1,1,1,1,1,0,yes,complete,Codex agent single semantic review 2026-09-07,Scene-appropriate graph under the prewritten rubric.
R024,1,1,1,1,1,1,0,not_proposed,complete,Codex agent single semantic review 2026-09-07,Scene-appropriate graph under the prewritten rubric.
R025,1,1,1,1,1,1,0,yes,complete,Codex agent single semantic review 2026-09-07,Scene-appropriate graph under the prewritten rubric.
R026,1,1,1,1,1,1,0,yes,complete,Codex agent single semantic review 2026-09-07,Scene-appropriate graph under the prewritten rubric.
R027,1,1,1,0,1,0,0,yes,complete,Codex agent single semantic review 2026-09-07,Observed the yellow cube inside the box but did not clear it or make clearance a required branch before placement.
R028,1,1,1,1,1,1,0,yes,complete,Codex agent single semantic review 2026-09-07,Scene-appropriate graph under the prewritten rubric.
R029,1,1,1,1,1,1,0,not_proposed,complete,Codex agent single semantic review 2026-09-07,Scene-appropriate graph under the prewritten rubric.
R030,1,1,1,1,1,1,0,yes,complete,Codex agent single semantic review 2026-09-07,Scene-appropriate graph under the prewritten rubric.
R031,1,1,0,1,1,0,0,not_proposed,complete,Codex agent single semantic review 2026-09-07,Text-only input could not select the current B-state decision; generic observation or contingency did not establish scene adaptation.
R032,1,1,1,1,1,1,0,not_proposed,complete,Codex agent single semantic review 2026-09-07,Scene-appropriate graph under the prewritten rubric.
R033,1,1,1,1,1,1,0,yes,complete,Codex agent single semantic review 2026-09-07,Scene-appropriate graph under the prewritten rubric.
R034,1,1,0,1,1,0,0,yes,complete,Codex agent single semantic review 2026-09-07,Text-only input could not select the current B-state decision; generic observation or contingency did not establish scene adaptation.
R035,1,1,1,1,1,1,0,yes,complete,Codex agent single semantic review 2026-09-07,Scene-appropriate graph under the prewritten rubric.
R036,1,1,0,1,1,0,0,yes,complete,Codex agent single semantic review 2026-09-07,Text-only input could not select the current B-state decision; generic observation or contingency did not establish scene adaptation.
R037,1,1,1,1,1,1,0,yes,complete,Codex agent single semantic review 2026-09-07,Scene-appropriate graph under the prewritten rubric.
