blind_id,request_id,case_id,root_family_id,condition,split,goal_correct,objects_correct,scene_specific,order_sensible,checks_observable,scene_ready,unsupported_visual_assertion,structure_valid,endpoint_scene_ready,reviewer,note
R001,confirm_F12_A_V1,F12_A,F12,V1,confirm,1,1,1,1,1,1,0,1,1,Codex agent single semantic review 2026-09-07,Scene-appropriate graph under the prewritten rubric.
R002,confirm_F04_A_T,F04_A,F04,T,confirm,1,1,1,1,1,1,0,1,1,Codex agent single semantic review 2026-09-07,Scene-appropriate graph under the prewritten rubric.
R003,confirm_F11_B_V1,F11_B,F11,V1,confirm,1,1,1,1,1,1,0,1,1,Codex agent single semantic review 2026-09-07,Scene-appropriate graph under the prewritten rubric.
R004,confirm_F06_A_V1,F06_A,F06,V1,confirm,1,1,1,1,1,1,0,1,1,Codex agent single semantic review 2026-09-07,Scene-appropriate graph under the prewritten rubric.
R005,confirm_F10_A_T,F10_A,F10,T,confirm,1,1,1,1,1,1,0,1,1,Codex agent single semantic review 2026-09-07,Scene-appropriate graph under the prewritten rubric.
R006,confirm_F04_B_V1,F04_B,F04,V1,confirm,1,1,1,1,1,1,0,1,1,Codex agent single semantic review 2026-09-07,Scene-appropriate graph under the prewritten rubric.
R007,confirm_F02_B_V1,F02_B,F02,V1,confirm,1,1,0,0,1,0,0,1,0,Codex agent single semantic review 2026-09-07,Recognized that the bowl was on the plate but still made re-grasp and redundant transport the primary path.
R008,confirm_F10_A_V1,F10_A,F10,V1,confirm,1,1,1,1,1,1,0,1,1,Codex agent single semantic review 2026-09-07,Scene-appropriate graph under the prewritten rubric.
R009,confirm_F03_A_V2,F03_A,F03,V2,confirm,1,1,1,1,1,1,0,1,1,Codex agent single semantic review 2026-09-07,Scene-appropriate graph under the prewritten rubric.
R010,confirm_F06_B_V2,F06_B,F06,V2,confirm,1,1,1,1,1,1,0,1,1,Codex agent single semantic review 2026-09-07,Scene-appropriate graph under the prewritten rubric.
R011,confirm_F02_A_T,F02_A,F02,T,confirm,1,1,1,1,1,1,0,1,1,Codex agent single semantic review 2026-09-07,Scene-appropriate graph under the prewritten rubric.
R012,confirm_F03_A_T,F03_A,F03,T,confirm,1,1,1,1,1,1,0,1,1,Codex agent single semantic review 2026-09-07,Scene-appropriate graph under the prewritten rubric.
R013,confirm_F12_B_T,F12_B,F12,T,confirm,1,1,0,1,1,0,0,1,0,Codex agent single semantic review 2026-09-07,Text-only input could not select the current B-state decision; generic observation or contingency did not establish scene adaptation.
R014,confirm_F12_B_V2,F12_B,F12,V2,confirm,1,1,1,1,1,1,0,1,1,Codex agent single semantic review 2026-09-07,Scene-appropriate graph under the prewritten rubric.
R015,confirm_F02_A_V1,F02_A,F02,V1,confirm,1,1,1,1,1,1,0,1,1,Codex agent single semantic review 2026-09-07,Scene-appropriate graph under the prewritten rubric.
R016,confirm_F07_B_V1,F07_B,F07,V1,confirm,1,0,0,1,1,0,1,1,0,Codex agent single semantic review 2026-09-07,Misidentified the brown occluder as the task's blue cube and proposed manipulating the wrong object.
R017,confirm_F04_B_V2,F04_B,F04,V2,confirm,1,1,1,1,1,1,0,1,1,Codex agent single semantic review 2026-09-07,Scene-appropriate graph under the prewritten rubric.
R018,confirm_F08_A_V1,F08_A,F08,V1,confirm,1,1,1,1,1,1,0,1,1,Codex agent single semantic review 2026-09-07,Scene-appropriate graph under the prewritten rubric.
R019,confirm_F08_A_T,F08_A,F08,T,confirm,1,1,1,1,1,1,0,1,1,Codex agent single semantic review 2026-09-07,Scene-appropriate graph under the prewritten rubric.
R020,confirm_F11_A_V1,F11_A,F11,V1,confirm,1,1,1,1,1,1,0,1,1,Codex agent single semantic review 2026-09-07,Scene-appropriate graph under the prewritten rubric.
R021,confirm_F12_A_T,F12_A,F12,T,confirm,1,1,1,1,1,1,0,1,1,Codex agent single semantic review 2026-09-07,Scene-appropriate graph under the prewritten rubric.
R022,confirm_F10_B_V1,F10_B,F10,V1,confirm,1,1,0,0,1,0,0,1,0,Codex agent single semantic review 2026-09-07,Observed the cup already in the tray but made moving it to another unspecified slot the primary path.
R023,confirm_F04_A_V1,F04_A,F04,V1,confirm,1,1,1,1,1,1,0,1,1,Codex agent single semantic review 2026-09-07,Scene-appropriate graph under the prewritten rubric.
R024,confirm_F07_A_V2,F07_A,F07,V2,confirm,1,1,1,1,1,1,0,1,1,Codex agent single semantic review 2026-09-07,Scene-appropriate graph under the prewritten rubric.
R025,confirm_F02_A_V2,F02_A,F02,V2,confirm,1,1,1,1,1,1,0,1,1,Codex agent single semantic review 2026-09-07,Scene-appropriate graph under the prewritten rubric.
R026,confirm_F12_B_V1,F12_B,F12,V1,confirm,1,1,1,1,1,1,0,1,1,Codex agent single semantic review 2026-09-07,Scene-appropriate graph under the prewritten rubric.
R027,confirm_F08_B_V1,F08_B,F08,V1,confirm,1,1,1,0,1,0,0,1,0,Codex agent single semantic review 2026-09-07,Observed the yellow cube inside the box but did not clear it or make clearance a required branch before placement.
