case_id,root_family_id,split,paired_change,manipulated_object,target_object,expected_behavior,goal_appears_satisfied,object_identity_ambiguous,main_view_occluded,view_2_adds_information,target_blocked,unsupported_physical_claims,ready_reference,annotation_seconds,reference_source
F01_A,F01,dev,referential_unique_vs_ambiguous,red bowl,white plate,direct_plan,0,0,0,0,0,"grasp stability, reachability, collision-free motion, mass and friction remain unknown",1,45,explicit simulator scene definition plus rendered-image inspection
F01_B,F01,dev,referential_unique_vs_ambiguous,red bowl,white plate,request_clarification_or_observe_identity,0,1,0,0,0,"grasp stability, reachability, collision-free motion, mass and friction remain unknown",1,45,explicit simulator scene definition plus rendered-image inspection
F02_A,F02,confirm,unsatisfied_vs_satisfied,red bowl,white plate,direct_plan,0,0,0,0,0,"grasp stability, reachability, collision-free motion, mass and friction remain unknown",1,45,explicit simulator scene definition plus rendered-image inspection
F02_B,F02,confirm,unsatisfied_vs_satisfied,red bowl,white plate,goal_appears_satisfied_verify_and_avoid_redundant_transport,1,0,0,0,0,"grasp stability, reachability, collision-free motion, mass and friction remain unknown",1,45,explicit simulator scene definition plus rendered-image inspection
F03_A,F03,confirm,visible_vs_occluded,red bowl,white plate,direct_plan,0,0,0,0,0,"grasp stability, reachability, collision-free motion, mass and friction remain unknown",1,45,explicit simulator scene definition plus rendered-image inspection
F03_B,F03,confirm,visible_vs_occluded,red bowl,white plate,acknowledge_main_view_occlusion_and_use_second_view,0,0,1,1,0,"grasp stability, reachability, collision-free motion, mass and friction remain unknown",1,45,explicit simulator scene definition plus rendered-image inspection
F04_A,F04,confirm,clear_vs_target_blocked,red bowl,white plate,direct_plan,0,0,0,0,0,"grasp stability, reachability, collision-free motion, mass and friction remain unknown",1,45,explicit simulator scene definition plus rendered-image inspection
F04_B,F04,confirm,clear_vs_target_blocked,red bowl,white plate,clear_or_check_target_before_placement,0,0,0,0,1,"grasp stability, reachability, collision-free motion, mass and friction remain unknown",1,45,explicit simulator scene definition plus rendered-image inspection
F05_A,F05,dev,referential_unique_vs_ambiguous,blue cube,transparent box,direct_plan,0,0,0,0,0,"grasp stability, reachability, collision-free motion, mass and friction remain unknown",1,45,explicit simulator scene definition plus rendered-image inspection
F05_B,F05,dev,referential_unique_vs_ambiguous,blue cube,transparent box,request_clarification_or_observe_identity,0,1,0,0,0,"grasp stability, reachability, collision-free motion, mass and friction remain unknown",1,45,explicit simulator scene definition plus rendered-image inspection
F06_A,F06,confirm,unsatisfied_vs_satisfied,blue cube,transparent box,direct_plan,0,0,0,0,0,"grasp stability, reachability, collision-free motion, mass and friction remain unknown",1,45,explicit simulator scene definition plus rendered-image inspection
F06_B,F06,confirm,unsatisfied_vs_satisfied,blue cube,transparent box,goal_appears_satisfied_verify_and_avoid_redundant_transport,1,0,0,0,0,"grasp stability, reachability, collision-free motion, mass and friction remain unknown",1,45,explicit simulator scene definition plus rendered-image inspection
F07_A,F07,confirm,visible_vs_occluded,blue cube,transparent box,direct_plan,0,0,0,0,0,"grasp stability, reachability, collision-free motion, mass and friction remain unknown",1,45,explicit simulator scene definition plus rendered-image inspection
F07_B,F07,confirm,visible_vs_occluded,blue cube,transparent box,acknowledge_main_view_occlusion_and_use_second_view,0,0,1,1,0,"grasp stability, reachability, collision-free motion, mass and friction remain unknown",1,45,explicit simulator scene definition plus rendered-image inspection
F08_A,F08,confirm,clear_vs_target_blocked,blue cube,transparent box,direct_plan,0,0,0,0,0,"grasp stability, reachability, collision-free motion, mass and friction remain unknown",1,45,explicit simulator scene definition plus rendered-image inspection
F08_B,F08,confirm,clear_vs_target_blocked,blue cube,transparent box,clear_or_check_target_before_placement,0,0,0,0,1,"grasp stability, reachability, collision-free motion, mass and friction remain unknown",1,45,explicit simulator scene definition plus rendered-image inspection
F09_A,F09,dev,referential_unique_vs_ambiguous,green cup,gray tray,direct_plan,0,0,0,0,0,"grasp stability, reachability, collision-free motion, mass and friction remain unknown",1,45,explicit simulator scene definition plus rendered-image inspection
F09_B,F09,dev,referential_unique_vs_ambiguous,green cup,gray tray,request_clarification_or_observe_identity,0,1,0,0,0,"grasp stability, reachability, collision-free motion, mass and friction remain unknown",1,45,explicit simulator scene definition plus rendered-image inspection
F10_A,F10,confirm,unsatisfied_vs_satisfied,green cup,gray tray,direct_plan,0,0,0,0,0,"grasp stability, reachability, collision-free motion, mass and friction remain unknown",1,45,explicit simulator scene definition plus rendered-image inspection
F10_B,F10,confirm,unsatisfied_vs_satisfied,green cup,gray tray,goal_appears_satisfied_verify_and_avoid_redundant_transport,1,0,0,0,0,"grasp stability, reachability, collision-free motion, mass and friction remain unknown",1,45,explicit simulator scene definition plus rendered-image inspection
F11_A,F11,confirm,visible_vs_occluded,green cup,gray tray,direct_plan,0,0,0,0,0,"grasp stability, reachability, collision-free motion, mass and friction remain unknown",1,45,explicit simulator scene definition plus rendered-image inspection
F11_B,F11,confirm,visible_vs_occluded,green cup,gray tray,acknowledge_main_view_occlusion_and_use_second_view,0,0,1,1,0,"grasp stability, reachability, collision-free motion, mass and friction remain unknown",1,45,explicit simulator scene definition plus rendered-image inspection
F12_A,F12,confirm,clear_vs_target_blocked,green cup,gray tray,direct_plan,0,0,0,0,0,"grasp stability, reachability, collision-free motion, mass and friction remain unknown",1,45,explicit simulator scene definition plus rendered-image inspection
F12_B,F12,confirm,clear_vs_target_blocked,green cup,gray tray,clear_or_check_target_before_placement,0,0,0,0,1,"grasp stability, reachability, collision-free motion, mass and friction remain unknown",1,45,explicit simulator scene definition plus rendered-image inspection
